p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
.,.,.,.,.,.,.,.,.,.,.,n,.,.,.,.,p,p,.,k,.,.,b,p,.,.,p,P,.,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Nf6,d7f6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,n,b,p,.,.,p,P,.,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Be8,g6e8
.,.,.,.,b,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,n,.,p,.,.,p,P,.,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Nd7,f6d7
.,.,.,.,b,.,.,.,.,.,.,n,.,.,.,.,p,p,.,k,.,.,.,p,.,.,p,P,.,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Ke5,d6e5
.,.,.,.,b,.,.,.,.,.,.,n,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,N,P,.,.,.,.,.,.,.,.,P,.,.,.,B,.,.,.,.,black,Kf6,e5f6
.,.,.,.,b,.,.,.,.,.,.,n,.,.,.,.,p,p,.,.,.,k,.,p,.,.,p,P,.,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,N,P,.,.,.,B,.,.,.,.,P,.,.,.,.,.,.,.,.,black,Ne5,d7e5
.,.,.,.,b,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,k,.,p,.,.,p,P,N,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,B,.,.,.,.,P,.,.,.,.,.,.,.,.,black,Kxe5,f6e5
.,.,.,.,b,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,.,.,.,.,P,.,B,.,.,.,.,.,.,black,Bg6,e8g6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,b,p,.,.,p,P,k,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,.,K,P,.,.,.,.,.,.,.,.,P,.,B,.,.,.,.,.,.,black,Bh5+,g6h5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,p,p,b,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,.,.,.,.,P,.,B,.,.,.,.,.,.,black,f4+,f5f4
